1 	14135 
2 	21868 
3 	16731 
1 	12714 
2 	21338 
3 	22660 
1 	14558 
2 	18622 
3 	18380 
1 	15150 
2 	24139 
3 	22304 
1 	16346 
2 	24008 
3 	22948 
1 	16957 
2 	18091 
3 	19639 
1 	15900 
2 	29815 
3 	23814 
1 	12727 
2 	19033 
3 	30743 
1 	15253 
2 	27496 
3 	31218 
1 	13926 
2 	21575 
3 	18639 
1 	12603 
2 	19206 
3 	19969 
1 	12484 
2 	19735 
3 	19924 
1 	15042 
2 	12801 
3 	18149 
1 	15224 
2 	19453 
3 	14484 
1 	16007 
2 	16223 
3 	20974 
1 	15245 
2 	40270 
3 	14391 
1 	15241 
2 	18425 
3 	18220 
1 	14653 
2 	19981 
3 	17063 
1 	15196 
2 	16495 
3 	14885 
1 	17276 
2 	15671 
3 	19480 
1 	15835 
2 	17264 
3 	20847 
1 	13419 
2 	17691 
3 	19289 
1 	12223 
2 	22378 
3 	25439 
1 	13994 
2 	17975 
3 	17822 
1 	12050 
2 	19292 
3 	20133 
1 	12814 
2 	18628 
3 	31185 
1 	13331 
2 	15745 
3 	19744 
1 	13787 
2 	20298 
3 	16722 
1 	15638 
2 	20148 
3 	22365 
1 	14793 
2 	19100 
3 	14443 
1 	15132 
2 	18799 
3 	17929 
1 	15659 
2 	19317 
3 	21194 
1 	15286 
2 	16013 
3 	18004 
1 	14146 
2 	16694 
3 	24459 
1 	15496 
2 	14316 
3 	23825 
1 	15298 
2 	19695 
3 	17297 
1 	18178 
2 	18887 
3 	18576 
1 	17176 
2 	22406 
3 	29702 
1 	15197 
2 	18623 
3 	18160 
1 	15479 
2 	20287 
3 	20168 
1 	16296 
2 	17849 
3 	19508 
1 	13843 
2 	19305 
3 	22534 
1 	14590 
2 	18400 
3 	24095 
1 	15599 
2 	18216 
3 	17775 
1 	15826 
2 	17372 
3 	9800 
1 	14928 
2 	19025 
3 	17783 
1 	14156 
2 	19742 
3 	17702 
1 	14045 
2 	22409 
3 	15795 
1 	17693 
2 	18829 
3 	17516 
1 	12003 
2 	26362 
