1,31488
2,58600
3,29195
1,41787
2,2.4355e+05
3,4.3699e+05
1,21734
2,92516
3,1.891e+05
1,26007
2,1.1245e+05
3,33528
1,52332
2,1.2708e+05
3,2.4155e+05
1,28278
2,80888
3,62637
1,41787
2,2.4355e+05
3,4.3699e+05
1,15354
2,1.4911e+05
3,3.1846e+05
1,15246
2,4.3849e+05
3,6.5063e+05
1,14270
2,1.7513e+05
3,4.3401e+05
1,15850
2,1.1858e+05
3,3.2148e+05
1,15027
2,70291
3,2.6879e+05
1,17544
2,2.3645e+05
3,4.7576e+05
1,45963
2,73262
3,31579
1,25652
2,1.8188e+05
3,4.1636e+05
1,25539
2,1.6673e+05
3,25343
1,45963
2,69495
3,26620
1,14176
2,1.845e+05
3,4.7532e+05
1,15803
2,3.0958e+05
3,4.1313e+05
1,15399
2,1.8604e+05
3,5.2339e+05
1,14696
2,3.0828e+05
3,5.1426e+05
1,53778
2,71871
3,41760
1,32559
2,73695
3,82153
1,72488
2,1.3387e+05
3,5.9844e+05
1,19987
2,2.4459e+05
3,5.1302e+05
1,15508
2,87462
3,2.1667e+05
1,18576
2,2.195e+05
3,6.568e+05
1,13709
2,87839
3,3.3647e+05
1,14757
2,59872
3,1.5456e+05
1,21945
2,1.2413e+05
3,1.9273e+05
1,51628
2,72668
3,27687
1,16636
2,65746
3,42216
1,35286
2,1.2739e+05
3,28372
1,30432
2,1.6125e+05
3,30725
1,56778
2,1.1974e+05
3,27499
1,24346
2,1.7317e+05
3,50077
1,11725
2,2.6821e+05
3,6.5265e+05
1,15858
2,72804
3,1.5176e+05
1,15289
2,1.5022e+05
3,3.2551e+05
1,14197
2,1.8138e+05
3,3.5428e+05
1,13241
2,73501
3,1.5176e+05
1,30523
2,76842
3,37049
1,14837
2,84346
3,33392
1,18550
2,26236
3,39222
1,18899
2,2.0978e+05
3,1.6489e+05
1,21740
2,1.4525e+05
3,3.2887e+05
1,45714
2,1.6803e+05
3,28857
1,18550
2,26236
3,33756
1,21583
2,1.7039e+05
3,3.2844e+05
1,15291
2,1.2492e+05
3,3.4981e+05
1,14423
2,2.943e+05
3,3.0625e+05
1,14170
2,2.9272e+05
3,2.4331e+05
1,32335
2,99331
3,23448
1,22722
2,2.7006e+05
3,3.5065e+05
1,19223
2,27971
3,38946
1,19818
2,1.1972e+05
3,33887
1,21697
2,80851
3,64196
1,48010
2,1.6951e+05
3,3.3498e+05
1,11905
2,2.0746e+05
3,3.0352e+05
1,13948
2,1.3747e+05
3,2.2818e+05
1,14149
2,2.0403e+05
3,1.1122e+05
1,14944
2,2.8871e+05
3,7.714e+05
1,16012
2,1.5478e+05
3,1.868e+05
1,14842
2,1.5876e+05
3,33087
1,47487
2,76244
3,1.0808e+05
1,34565
2,1.5521e+05
3,1.5547e+05
1,50039
2,52280
3,99904
1,18106
2,1.7033e+05
3,32713
1,30087
2,38728
3,31300
1,21792
2,1.7441e+05
3,2.3222e+05
1,16221
2,2.0036e+05
3,3.3633e+05
1,64534
2,2.3162e+05
3,1.0039e+05
1,17381
2,3.6649e+05
3,5.6549e+05
1,17635
2,1.8053e+05
3,5.9267e+05
1,14068
2,1.1258e+05
3,1.4206e+05
1,15172
2,1.3564e+05
3,2.2917e+05
1,14820
2,1.6066e+05
3,3.6689e+05
1,13517
2,2.5125e+05
3,6.1566e+05
1,27790
2,1.6937e+05
3,3.8551e+05
1,49901
2,1.6516e+05
3,1.2483e+05
1,15631
2,34593
3,61386
1,15969
2,1.19e+05
3,2.0815e+05
1,14258
2,2.2115e+05
3,5.8624e+05
1,12423
2,1.0821e+05
3,79525
1,14185
2,1.8137e+05
3,3.8048e+05
1,14571
2,2.5615e+05
3,6.2012e+05
1,16570
2,1.0764e+05
3,1.4665e+05
1,38535
2,55371
3,28125
1,19405
2,61029
3,38168
1,14926
2,2.9469e+05
